step 0  train 1.1921  val 1.1635
step 1000  train 0.0977  val 0.1061
step 2000  train 0.1037  val 0.0817
step 3000  train 0.0654  val 0.0682
step 4000  train 0.0447  val 0.0596
step 5000  train 0.0498  val 0.0535
step 6000  train 0.0531  val 0.0498
step 7000  train 0.0428  val 0.0471
step 8000  train 0.0455  val 0.0474
step 9000  train 0.0366  val 0.0449
step 10000  train 0.0363  val 0.0413
step 11000  train 0.0391  val 0.0407
step 12000  train 0.0371  val 0.0399
step 13000  train 0.0318  val 0.0404
step 14000  train 0.0481  val 0.0376
step 15000  train 0.0372  val 0.0365
step 16000  train 0.0313  val 0.0390
step 17000  train 0.0324  val 0.0352
step 18000  train 0.0331  val 0.0354
step 19000  train 0.0271  val 0.0334
step 20000  train 0.0322  val 0.0353
step 21000  train 0.0330  val 0.0343
step 22000  train 0.0337  val 0.0324
step 23000  train 0.0382  val 0.0341
step 24000  train 0.0309  val 0.0332
step 25000  train 0.0390  val 0.0345
step 26000  train 0.0376  val 0.0305
step 27000  train 0.0336  val 0.0335
step 28000  train 0.0266  val 0.0323
step 29000  train 0.0267  val 0.0309
step 30000  train 0.0328  val 0.0295
step 31000  train 0.0270  val 0.0310
step 32000  train 0.0273  val 0.0294
step 33000  train 0.0323  val 0.0313
step 34000  train 0.0305  val 0.0308
step 35000  train 0.0248  val 0.0314
step 36000  train 0.0391  val 0.0295
step 37000  train 0.0306  val 0.0293
step 38000  train 0.0269  val 0.0283
step 39000  train 0.0262  val 0.0309
step 39999  train 0.0164  val 0.0320
