step 0  train 1.1735  val 1.1192
step 1000  train 0.0709  val 0.0749
step 2000  train 0.0833  val 0.0606
step 3000  train 0.0553  val 0.0507
step 4000  train 0.0369  val 0.0490
step 5000  train 0.0341  val 0.0422
step 6000  train 0.0513  val 0.0389
step 7000  train 0.0308  val 0.0357
step 8000  train 0.0328  val 0.0374
step 9000  train 0.0273  val 0.0339
step 10000  train 0.0295  val 0.0359
step 11000  train 0.0304  val 0.0297
step 12000  train 0.0292  val 0.0281
step 13000  train 0.0234  val 0.0298
step 14000  train 0.0416  val 0.0294
step 15000  train 0.0290  val 0.0266
step 16000  train 0.0244  val 0.0284
step 17000  train 0.0229  val 0.0256
step 18000  train 0.0268  val 0.0256
step 19000  train 0.0190  val 0.0247
step 20000  train 0.0308  val 0.0250
step 21000  train 0.0251  val 0.0267
step 22000  train 0.0260  val 0.0283
step 23000  train 0.0296  val 0.0272
step 24000  train 0.0249  val 0.0269
step 25000  train 0.0298  val 0.0261
step 26000  train 0.0302  val 0.0233
step 27000  train 0.0287  val 0.0241
step 28000  train 0.0179  val 0.0252
step 29000  train 0.0194  val 0.0251
step 30000  train 0.0317  val 0.0243
step 31000  train 0.0188  val 0.0225
step 32000  train 0.0234  val 0.0213
step 33000  train 0.0241  val 0.0234
step 34000  train 0.0196  val 0.0247
step 35000  train 0.0184  val 0.0222
step 36000  train 0.0273  val 0.0228
step 37000  train 0.0238  val 0.0206
step 38000  train 0.0195  val 0.0212
step 39000  train 0.0229  val 0.0225
step 39999  train 0.0094  val 0.0236
