step 0  train 1.1898  val 1.1385
step 1000  train 0.1572  val 0.1599
step 2000  train 0.1639  val 0.1340
step 3000  train 0.1103  val 0.1148
step 4000  train 0.0843  val 0.0990
step 5000  train 0.0822  val 0.0909
step 6000  train 0.0892  val 0.0834
step 7000  train 0.0664  val 0.0762
step 8000  train 0.0751  val 0.0735
step 9000  train 0.0666  val 0.0704
step 10000  train 0.0646  val 0.0664
step 11000  train 0.0702  val 0.0645
step 12000  train 0.0702  val 0.0617
step 13000  train 0.0549  val 0.0624
step 14000  train 0.0725  val 0.0604
step 15000  train 0.0588  val 0.0594
step 16000  train 0.0549  val 0.0557
step 17000  train 0.0517  val 0.0562
step 18000  train 0.0556  val 0.0549
step 19000  train 0.0461  val 0.0552
step 20000  train 0.0475  val 0.0541
step 21000  train 0.0522  val 0.0525
step 22000  train 0.0515  val 0.0521
step 23000  train 0.0610  val 0.0495
step 24000  train 0.0493  val 0.0514
step 25000  train 0.0526  val 0.0508
step 26000  train 0.0576  val 0.0481
step 27000  train 0.0545  val 0.0498
step 28000  train 0.0436  val 0.0486
step 29000  train 0.0447  val 0.0481
step 30000  train 0.0503  val 0.0474
step 31000  train 0.0447  val 0.0470
step 32000  train 0.0429  val 0.0445
step 33000  train 0.0455  val 0.0464
step 34000  train 0.0428  val 0.0430
step 35000  train 0.0396  val 0.0429
step 36000  train 0.0560  val 0.0447
step 37000  train 0.0445  val 0.0442
step 38000  train 0.0437  val 0.0421
step 39000  train 0.0452  val 0.0441
step 39999  train 0.0296  val 0.0459
