step 0  train 1.2100  val 1.1630
step 1000  train 0.2122  val 0.2225
step 2000  train 0.2316  val 0.2039
step 3000  train 0.1901  val 0.1974
step 4000  train 0.1735  val 0.1922
step 5000  train 0.1730  val 0.1882
step 6000  train 0.1922  val 0.1848
step 7000  train 0.1665  val 0.1798
step 8000  train 0.1793  val 0.1752
step 9000  train 0.1529  val 0.1639
step 10000  train 0.1529  val 0.1516
step 11000  train 0.1504  val 0.1420
step 12000  train 0.1510  val 0.1367
step 13000  train 0.1203  val 0.1295
step 14000  train 0.1376  val 0.1255
step 15000  train 0.1168  val 0.1194
step 16000  train 0.1066  val 0.1178
step 17000  train 0.1074  val 0.1147
step 18000  train 0.1065  val 0.1137
step 19000  train 0.1038  val 0.1121
step 20000  train 0.0949  val 0.1105
step 21000  train 0.1042  val 0.1088
step 22000  train 0.1126  val 0.1083
step 23000  train 0.1193  val 0.1063
step 24000  train 0.0968  val 0.1046
step 25000  train 0.0971  val 0.1031
step 26000  train 0.1143  val 0.1038
step 27000  train 0.1020  val 0.1023
step 28000  train 0.0839  val 0.1009
step 29000  train 0.0887  val 0.0987
step 30000  train 0.1007  val 0.0970
step 31000  train 0.0943  val 0.0961
step 32000  train 0.0858  val 0.0940
step 33000  train 0.0867  val 0.0946
step 34000  train 0.0823  val 0.0909
step 35000  train 0.0790  val 0.0893
step 36000  train 0.0941  val 0.0887
step 37000  train 0.0845  val 0.0880
step 38000  train 0.0874  val 0.0848
step 39000  train 0.0770  val 0.0837
step 39999  train 0.0563  val 0.0828
