step 0  train 1.1619  val 1.1119
step 1000  train 0.0561  val 0.0566
step 2000  train 0.0724  val 0.0471
step 3000  train 0.0495  val 0.0391
step 4000  train 0.0324  val 0.0410
step 5000  train 0.0288  val 0.0335
step 6000  train 0.0473  val 0.0327
step 7000  train 0.0230  val 0.0300
step 8000  train 0.0276  val 0.0299
step 9000  train 0.0243  val 0.0309
step 10000  train 0.0241  val 0.0319
step 11000  train 0.0268  val 0.0252
step 12000  train 0.0247  val 0.0247
step 13000  train 0.0212  val 0.0277
step 14000  train 0.0381  val 0.0263
step 15000  train 0.0275  val 0.0231
step 16000  train 0.0215  val 0.0243
step 17000  train 0.0204  val 0.0227
step 18000  train 0.0226  val 0.0219
step 19000  train 0.0176  val 0.0217
step 20000  train 0.0278  val 0.0234
step 21000  train 0.0231  val 0.0226
step 22000  train 0.0247  val 0.0255
step 23000  train 0.0270  val 0.0235
step 24000  train 0.0236  val 0.0249
step 25000  train 0.0299  val 0.0239
step 26000  train 0.0281  val 0.0229
step 27000  train 0.0273  val 0.0209
step 28000  train 0.0163  val 0.0218
step 29000  train 0.0180  val 0.0214
step 30000  train 0.0281  val 0.0208
step 31000  train 0.0164  val 0.0191
step 32000  train 0.0230  val 0.0191
step 33000  train 0.0242  val 0.0214
step 34000  train 0.0181  val 0.0231
step 35000  train 0.0176  val 0.0199
step 36000  train 0.0257  val 0.0197
step 37000  train 0.0219  val 0.0182
step 38000  train 0.0183  val 0.0200
step 39000  train 0.0208  val 0.0199
step 39999  train 0.0086  val 0.0197
