step 0  train 1.1804  val 1.1320
step 1000  train 0.1526  val 0.1539
step 2000  train 0.1513  val 0.1255
step 3000  train 0.0995  val 0.1025
step 4000  train 0.0752  val 0.0911
step 5000  train 0.0778  val 0.0845
step 6000  train 0.0836  val 0.0788
step 7000  train 0.0642  val 0.0729
step 8000  train 0.0718  val 0.0709
step 9000  train 0.0637  val 0.0688
step 10000  train 0.0618  val 0.0642
step 11000  train 0.0661  val 0.0641
step 12000  train 0.0647  val 0.0610
step 13000  train 0.0535  val 0.0615
step 14000  train 0.0716  val 0.0584
step 15000  train 0.0558  val 0.0573
step 16000  train 0.0520  val 0.0562
step 17000  train 0.0501  val 0.0552
step 18000  train 0.0528  val 0.0549
step 19000  train 0.0449  val 0.0552
step 20000  train 0.0455  val 0.0531
step 21000  train 0.0515  val 0.0506
step 22000  train 0.0490  val 0.0528
step 23000  train 0.0600  val 0.0509
step 24000  train 0.0496  val 0.0527
step 25000  train 0.0518  val 0.0499
step 26000  train 0.0581  val 0.0479
step 27000  train 0.0516  val 0.0506
step 28000  train 0.0415  val 0.0488
step 29000  train 0.0455  val 0.0492
step 30000  train 0.0496  val 0.0471
step 31000  train 0.0438  val 0.0481
step 32000  train 0.0398  val 0.0451
step 33000  train 0.0437  val 0.0465
step 34000  train 0.0418  val 0.0435
step 35000  train 0.0385  val 0.0439
step 36000  train 0.0551  val 0.0443
step 37000  train 0.0439  val 0.0441
step 38000  train 0.0424  val 0.0416
step 39000  train 0.0440  val 0.0450
step 39999  train 0.0295  val 0.0461
