step 0  train 1.2042  val 1.1605
step 1000  train 0.2069  val 0.2178
step 2000  train 0.2302  val 0.2013
step 3000  train 0.1879  val 0.1943
step 4000  train 0.1705  val 0.1904
step 5000  train 0.1715  val 0.1874
step 6000  train 0.1915  val 0.1837
step 7000  train 0.1681  val 0.1780
step 8000  train 0.1768  val 0.1723
step 9000  train 0.1483  val 0.1596
step 10000  train 0.1467  val 0.1481
step 11000  train 0.1482  val 0.1381
step 12000  train 0.1473  val 0.1318
step 13000  train 0.1183  val 0.1264
step 14000  train 0.1359  val 0.1229
step 15000  train 0.1160  val 0.1189
step 16000  train 0.1054  val 0.1168
step 17000  train 0.1065  val 0.1150
step 18000  train 0.1065  val 0.1138
step 19000  train 0.1024  val 0.1126
step 20000  train 0.0929  val 0.1100
step 21000  train 0.1047  val 0.1096
step 22000  train 0.1137  val 0.1074
step 23000  train 0.1204  val 0.1068
step 24000  train 0.0987  val 0.1056
step 25000  train 0.0970  val 0.1040
step 26000  train 0.1152  val 0.1028
step 27000  train 0.1041  val 0.1032
step 28000  train 0.0822  val 0.1005
step 29000  train 0.0886  val 0.0980
step 30000  train 0.0992  val 0.0955
step 31000  train 0.0924  val 0.0942
step 32000  train 0.0858  val 0.0920
step 33000  train 0.0862  val 0.0912
step 34000  train 0.0814  val 0.0893
step 35000  train 0.0764  val 0.0876
step 36000  train 0.0924  val 0.0871
step 37000  train 0.0818  val 0.0866
step 38000  train 0.0857  val 0.0832
step 39000  train 0.0764  val 0.0834
step 39999  train 0.0560  val 0.0809
